Franchise,Menu_Item,Cost_Dollars,Serving_Weight_G,Calories,Calories_Fat,Total_Fat_G,Sat_Fat_G,Trans_Fat_G,Chol_mG,Sodium_mG,Carbs_G,Fiber_G,Sugars_G,Protein_G,Percent_Carb,Percent_Protein,Percent_Fat,Distance_From_Macros,Distance_From_Macros_Revised,Distance_From_Macros_Revised_Normalized_Min_Max,Distance_From_Macros_Revised_Normalized_Mean,Distance_From_Macros_Normalized_Min_Max,Distance_From_Macros_Normalized_Mean,Calories_Normalized_Min_Max,Serving_Weight_G_Normalized_Min_Max,Distance_From_Macros_Revised_Normalized_Min_Max_Modified,Agg_Score
Burger King,Onion Rings,2.19,43.0,150.0,70.0,8.0,1.5,0.0,0.0,400.0,19.0,1.0,2.0,1.0,0.6785714285714286,0.03571428571428571,0.2857142857142857,0.5416339602893965,310.32,0.8694713056192469,1.1458033934610992,0.46838728949194863,0.3944689259810067,0.0,0.02030456852791878,0.1305286943807531,0.06831003246956437
Burger King,Chicken Nuggets (4),1.19,58.0,170.0,100.0,11.0,1.5,0.0,25.0,310.0,11.0,1.0,0.0,8.0,0.36666666666666664,0.26666666666666666,0.36666666666666664,0.30000000000000004,286.39,0.7899511514305652,0.7896450170690894,0.013161216949846427,-1.3609380175223496,0.038461538461538464,0.0583756345177665,0.21004884856943484,0.12724230792392086
Burger King,Fried Apple Pie,1.49,107.0,340.0,130.0,14.0,6.0,0.0,0.0,310.0,51.0,1.0,25.0,3.0,0.75,0.04411764705882353,0.20588235294117646,0.5973557650467618,200.66,0.5050676236998638,-0.4863039009454102,0.5733643312300937,0.7992731300691595,0.36538461538461536,0.18274111675126903,0.4949323763001362,0.4027619710473738
Burger King,Chicken Fries,6.79,91.0,280.0,150.0,17.0,2.5,0.0,35.0,850.0,20.0,1.0,1.0,13.0,0.4,0.26,0.34,0.3052867504494749,214.17999999999998,0.5499950154520985,-0.28508111578786893,0.02312118549376406,-1.3225311709165875,0.25,0.14213197969543148,0.4500049845479015,0.33382228922826546
Burger King,Chicken Crisp Sandwich,1.0,228.0,670.0,370.0,41.0,7.0,0.0,60.0,1080.0,54.0,2.0,8.0,23.0,0.4576271186440678,0.19491525423728814,0.3474576271186441,0.3437169456046313,237.56,0.6276875020768949,0.06289142245054276,0.09552171556228552,-1.0433459465600634,1.0,0.48984771573604063,0.37231249792310506,0.6096334063219586
Burger King,Hamburger,1.0,99.0,240.0,90.0,10.0,3.5,0.5,35.0,380.0,26.0,1.0,6.0,13.0,0.5306122448979592,0.2653061224489796,0.20408163265306123,0.3789274413801457,248.79999999999998,0.6650383810188416,0.23018018762589507,0.16185649600850538,-0.7875509883741052,0.17307692307692307,0.16243654822335024,0.3349616189811584,0.2524232148010048
Subway,Rotisserie-Style Chicken,5.29,233.0,300.0,6.0,2.0,0.0,50.0,710.0,39.0,4.0,5.0,2.0,23.0,0.13793103448275862,0.7931034482758621,0.06896551724137931,0.6346607696312401,317.58,0.8935965174625327,1.2538564570885953,0.6436450595797767,1.0702841419177758,0.28846153846153844,0.5025380710659898,0.10640348253746734,0.2295439903901706
Subway,Carved Turkey,5.29,219.0,260.0,3.0,1.0,0.0,25.0,790.0,39.0,4.0,6.0,2.0,20.0,0.16,0.8,0.04,0.6459102104782057,332.79,0.9441398331837969,1.4802320903908301,0.6648384330978269,1.1520083604408802,0.21153846153846154,0.467005076142132,0.055860166816203094,0.17201930636788287
Subway,Roast Beef,5.29,233.0,300.0,5.0,2.0,0.0,40.0,740.0,41.0,4.0,7.0,3.0,22.0,0.14285714285714285,0.7857142857142857,0.07142857142857142,0.6267831705280088,320.43,0.9030671584753929,1.2962739820663318,0.6288040641479664,1.0130554636832005,0.28846153846153844,0.5025380710659898,0.09693284152460713,0.2248086698837405
Subway,Subway Club,6.29,254.0,460.0,20.0,5.0,0.0,65.0,1200.0,41.0,4.0,7.0,3.0,29.0,0.10526315789473684,0.7631578947368421,0.13157894736842105,0.6006690637112277,303.3,0.846143621440202,1.0413223319369913,0.57960641713713,0.823343370338938,0.5961538461538461,0.5558375634517766,0.15385637855979795,0.3689576699515116
Subway,Oven Roasted Chicken,4.25,233.0,280.0,5.0,1.0,0.0,45.0,620.0,41.0,4.0,6.0,2.0,21.0,0.15384615384615385,0.8076923076923077,0.038461538461538464,0.6538461538461539,329.94,0.9346691921709367,1.4378145654130936,0.6797893461523529,1.2096608943589648,0.25,0.5025380710659898,0.06533080782906331,0.1955461145744301
Subway,Spicy Italian ,4.99,208.0,430.0,24.0,9.0,0.0,60.0,1280.0,39.0,2.0,4.0,2.0,19.0,0.06666666666666667,0.6333333333333333,0.3,0.49553562491061687,286.36,0.7898514604725351,0.7891985168061663,0.38154037385112854,0.05957668686470231,0.5384615384615384,0.43908629441624364,0.21014853952746493,0.35939875238770747
Subway,Black Forest Ham,4.99,219.0,270.0,4.0,1.0,0.0,30.0,810.0,41.0,4.0,6.0,3.0,18.0,0.17391304347826086,0.782608695652174,0.043478260869565216,0.6281818815999952,338.49,0.9630811152095171,1.5650671403463023,0.6314391645583514,1.023216730438831,0.23076923076923078,0.467005076142132,0.036918884790482887,0.16927943458579203
Subway,Veggie Patty,4.25,247.0,380.0,11.0,1.0,0.0,0.0,640.0,56.0,12.0,7.0,2.0,14.0,0.4444444444444444,0.5185185185185185,0.037037037037037035,0.466651969198302,333.89,0.9477951683115674,1.496603766698026,0.3271250377997401,-0.15025544819790745,0.4423076923076923,0.5380710659898477,0.052204831688432596,0.2616207680503857
McDonalds,McChicken,1.0,143.0,360.0,150.0,16.0,3.0,0.0,35.0,830.0,40.0,2.0,5.0,14.0,0.5714285714285714,0.2,0.22857142857142856,0.4108229669870973,177.99,0.42973448974844647,-0.8237092662946309,0.2219460415191154,-0.5558384134940052,0.40384615384615385,0.27411167512690354,0.5702655102515535,0.4675956602409661
McDonalds,McDouble,1.29,151.0,390.0,170.0,19.0,8.0,1.0,65.0,920.0,33.0,2.0,7.0,22.0,0.44594594594594594,0.2972972972972973,0.25675675675675674,0.32121254929742465,149.21,0.33409763067823084,-1.2520518518592794,0.05312457927568457,-1.2068344458161648,0.46153846153846156,0.29441624365482233,0.6659023693217692,0.5386520827475695
McDonalds,McFries,1.39,71.0,230.0,100.0,11.0,1.5,0.0,0.0,160.0,29.0,3.0,0.0,3.0,0.6744186046511628,0.06976744186046512,0.2558139534883721,0.5245462124948819,264.64,0.7176752068587378,0.4659323264495237,0.43619484308346174,0.270330948474037,0.15384615384615385,0.09137055837563451,0.28232479314126224,0.20871413417313014
McDonalds,Chicken McNuggets,4.49,97.0,280.0,160.0,18.0,3.0,0.0,40.0,540.0,18.0,1.0,0.0,13.0,0.3673469387755102,0.2653061224489796,0.3673469387755102,0.30045779314970317,211.51999999999998,0.5411557505067622,-0.32467080576708934,0.01402367592426558,-1.3576122711218241,0.25,0.15736040609137056,0.45884424949323777,0.34052618566032444
McDonalds,Sausage McGriddle,2.79,141.0,420.0,200.0,22.0,8.0,0.0,35.0,1030.0,44.0,2.0,15.0,11.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.42257712736425834,165.22,0.3872993719469644,-1.0137695448790842,0.24409028092203935,-0.47044754080206774,0.5192307692307693,0.26903553299492383,0.6127006280530356,0.5284364132065256
McDonalds,Sausage McMuffin,1.19,111.0,370.0,200.0,22.0,8.0,0.0,45.0,850.0,29.0,2.0,2.0,14.0,0.4461538461538462,0.2153846153846154,0.3384615384615385,0.33166247903553997,186.67,0.45857840693849067,-0.694521856888754,0.07281171459112519,-1.1309184644721515,0.4230769230769231,0.19289340101522842,0.5414215930615094,0.44772172975996205
McDonalds,Sauage Biscuit,1.19,117.0,430.0,240.0,27.0,12.0,0.0,30.0,1080.0,34.0,2.0,2.0,11.0,0.4722222222222222,0.1527777777777778,0.375,0.3700809054020619,218.52,0.5644169740471207,-0.22048741108492984,0.14519007286135213,-0.8518187372587477,0.5384615384615384,0.20812182741116753,0.43558302595287934,0.43747132554965323
McDonalds,Snack Sized Oreo McFlurry,1.79,190.0,340.0,100.0,12.0,6.0,0.0,30.0,200.0,53.0,2.0,43.0,8.0,0.726027397260274,0.1095890410958904,0.1643835616438356,0.562269948369604,195.73,0.4886850762635829,-0.5596787774858453,0.5072644398541228,0.544383932624377,0.36538461538461536,0.3934010152284264,0.5113149237364172,0.44255222953708795
Taco Bell,Spicy Potato Soft Taco,1.0,103.0,270.0,120.0,3.0,0.0,13.0,10.0,520.0,31.0,3.0,1.0,6.0,0.775,0.15,0.075,0.6154266812545586,305.37,0.8530222975442794,1.0721308500787152,0.6074090168473816,0.9305535665965486,0.23076923076923078,0.17258883248730963,0.14697770245572062,0.18014640687018751
